variable,shap_importancia_media_abs
adultos_moviles,0.4576712506357252
parasitos_totales,0.4423182341901096
hembras_ovigeras,0.2908733567954787
parasitos_totales_lag1,0.2597098100425267
juveniles,0.258174019969094
parasitos_totales_max_4,0.22360693381201482
parasitos_totales_media_4,0.22261269192598807
adultos_moviles_lag1,0.17465169495473065
juveniles_media_4,0.16692760355283587
juveniles_lag1,0.1524825876197205
adultos_moviles_media_4,0.14949523457878916
hembras_ovigeras_max_4,0.1366665746532086
juveniles_max_4,0.11714568232751271
adultos_moviles_max_4,0.11370309950718688
juveniles_lag2,0.09853283657619837
hembras_ovigeras_media_4,0.09044841315180653
temperatura,0.07318528153212685
juveniles_lag4,0.0688118799416295
temperatura_lag2,0.05927501121296373
temperatura_media_4,0.056524289874499284
parasitos_totales_lag4,0.05649199454414036
hembras_ovigeras_lag1,0.05465976840601468
delta_parasitos_1,0.053529322775819024
temperatura_lag1,0.05126512182377267
juveniles_lag3,0.04989241542153097
temperatura_lag4,0.04860347939610213
delta_hembras_1,0.04770392352365152
temperatura_lag3,0.04703256421840761
delta_adultos_1,0.034561242873042894
zona_Magallanes,0.03200073237469273
parasitos_totales_lag3,0.02924851962437154
parasitos_totales_lag2,0.02900333172171015
salinidad_media_4,0.0288794129503577
delta_juveniles_1,0.027382608380965547
localidad_120128,0.025747698274588234
delta_salinidad_1,0.023416006830750374
adultos_moviles_lag3,0.022754438859851032
salinidad_lag3,0.021098868250513284
semana_cos,0.01997701447498011
hembras_ovigeras_lag2,0.01955090123735079
adultos_moviles_lag2,0.019130385600794445
salinidad_lag1,0.018671200508887542
salinidad,0.017501134247049292
adultos_moviles_lag4,0.017405192496004467
hembras_ovigeras_lag4,0.01725928554105319
salinidad_lag2,0.016811225297723196
hembras_ovigeras_lag3,0.01470828719521942
anio,0.01341202229697403
estacion_Otoño,0.011675285856487125
semana_sin,0.01135272916465194
salinidad_lag4,0.010299703883383606
localidad_110758,0.008034085366940408
delta_temperatura_1,0.007875530513701542
zona_Aysén,0.0042892877845979544
estacion_Primavera,0.00391807234927952
localidad_102424,0.0022315755210057155
estacion_Invierno,0.0021237819569410055
zona_Los Lagos,0.0018262032830213197
estacion_Verano,0.0017741045212091285
